x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
2971,-242,595,2963,-238,604,301,19552048,50045944,0,0,263656,
2960,-237,606,2962,-237,605,301,19552048,50045944,0,0,263058,
2957,-239,611,2963,-237,605,301,19552048,50045944,0,0,263656,
2963,-237,607,2963,-237,604,301,19552048,50045944,0,0,263656,
2970,-247,592,2962,-238,605,301,19552048,50045944,0,0,262546,
2962,-231,610,2963,-237,604,301,19552048,50045944,0,0,263400,
2963,-233,606,2963,-237,604,301,19552048,50045944,0,0,263058,
2966,-234,601,2963,-238,604,301,19552048,50045944,0,0,263058,
2960,-225,612,2962,-237,604,301,19552048,50045944,0,23,263058,
2980,-233,587,2962,-237,604,301,19552048,50045944,59,23,263400,
2964,-234,604,2962,-237,604,301,19552048,50045944,59,23,262546,
2965,-219,609,2963,-238,604,301,19552048,50045944,59,23,262546,
2977,-224,594,2963,-237,604,301,19552048,50045944,59,23,262802,
2976,-228,595,2963,-237,604,301,19552048,50045944,59,23,262546,
2951,-232,618,2963,-238,604,301,19552048,50045944,59,23,262802,
2962,-222,611,2962,-237,604,301,19552048,50045944,59,23,262546,
2936,-234,631,2962,-238,605,301,19552048,50045944,59,23,263058,
2975,-226,600,2962,-238,605,301,19552048,50045944,59,23,263058,
2961,-236,608,2962,-237,605,301,19552048,50045944,59,23,262034,
2959,-237,608,2962,-237,605,301,19552048,50045944,55,23,262290,
2973,-240,593,2962,-237,605,301,19552048,50045944,55,23,262802,
2971,-237,594,2962,-237,605,301,19552048,50045944,55,23,262802,
2952,-231,618,2962,-237,605,301,19552048,50045944,55,23,262546,
2966,-231,606,2962,-237,605,301,19552048,50045944,55,23,263656,
2970,-235,597,2961,-237,605,301,19552048,50045944,55,23,263058,
2960,-225,612,2961,-237,605,301,19552048,50045944,55,23,262546,
2965,-232,604,2962,-237,605,301,19552048,50045944,55,23,262546,
2966,-235,598,2963,-237,605,301,19552048,50045944,55,23,263058,
2971,-241,591,2962,-237,605,301,19552048,50045944,55,23,262546,
2962,-238,602,2962,-238,605,301,19552048,50045944,55,23,263058,
2961,-232,607,2961,-238,605,301,19552048,50045944,55,23,262802,
2986,-244,573,2961,-238,605,301,19552048,50045944,55,23,262802,
2954,-233,614,2961,-238,605,301,19552048,50045944,55,23,263058,
2969,-231,600,2961,-238,605,301,19552048,50045944,55,23,263656,
