x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
-752,19,-1357,-768,-8,-1145,0,0,0,0,0,209486,
-755,7,-1314,-767,-9,-1145,0,0,0,0,0,209741,
-768,19,-1344,-767,-9,-1145,0,0,0,0,0,209486,
-757,27,-1377,-767,-9,-1146,0,0,0,0,0,210251,
-760,3,-1299,-767,-8,-1146,0,0,0,0,0,209486,
-760,15,-1335,-767,-8,-1147,0,0,0,0,0,209996,
-762,27,-1376,-767,-8,-1147,0,0,0,0,0,209231,
-782,31,-1380,-766,-8,-1148,0,0,0,0,0,209741,
-765,27,-1372,-767,-8,-1148,0,0,0,0,0,209486,
-740,7,-1329,-767,-9,-1149,0,0,0,0,0,209231,
-768,46,-1441,-767,-8,-1149,0,0,0,0,0,209741,
-765,15,-1337,-768,-8,-1150,0,0,0,0,0,209486,
-779,11,-1308,-768,-8,-1151,0,0,0,0,0,208721,
-771,11,-1317,-769,-8,-1151,0,0,0,0,0,209231,
-757,15,-1338,-768,-8,-1152,0,0,0,0,0,209486,
-779,-7,-1238,-768,-8,-1152,0,0,0,0,0,209486,
-748,15,-1344,-768,-8,-1153,0,0,0,0,0,208721,
-768,3,-1293,-768,-7,-1154,0,0,0,0,0,209741,
-743,23,-1375,-768,-7,-1154,0,0,0,0,0,209741,
-754,23,-1367,-768,-7,-1155,0,0,0,0,0,209996,
-765,3,-1293,-767,-6,-1156,0,0,0,0,0,209486,
-743,15,-1351,-767,-7,-1157,0,0,0,0,0,209996,
-757,19,-1354,-766,-7,-1158,0,0,0,0,0,209741,
-763,27,-1375,-766,-7,-1159,0,0,0,0,0,208976,
-760,11,-1328,-767,-7,-1160,0,0,0,0,0,209231,
-754,15,-1345,-768,-6,-1160,0,0,0,0,0,209741,
-771,15,-1331,-767,-7,-1161,0,0,0,0,0,208976,
-765,23,-1362,-767,-7,-1162,0,0,0,0,0,209741,
-760,19,-1355,-767,-6,-1163,0,0,0,0,0,209486,
-754,11,-1330,-767,-6,-1164,0,0,0,0,0,209231,
-743,15,-1352,-767,-6,-1165,0,0,0,0,0,209231,
-757,19,-1352,-767,-7,-1166,0,0,0,0,0,208976,
-765,27,-1376,-766,-6,-1167,0,0,0,0,0,209996,
-779,19,-1337,-767,-5,-1168,0,0,0,0,0,208976,
-762,15,-1339,-767,-6,-1169,0,0,0,0,0,209486,
-754,11,-1331,-767,-6,-1170,0,0,0,0,0,209231,
-763,11,-1321,-766,-6,-1171,0,0,0,0,0,208976,
-757,15,-1341,-766,-6,-1172,0,0,0,0,0,208976,
-777,3,-1281,-766,-5,-1173,0,0,0,0,0,208976,
-763,23,-1360,-766,-6,-1174,0,0,0,0,0,208976,
-754,-3,-1277,-766,-6,-1175,0,0,0,0,0,208721,
-754,15,-1343,-766,-5,-1176,0,0,0,0,0,209486,
-754,15,-1343,-766,-5,-1177,0,0,0,0,0,208721,
-757,11,-1323,-765,-5,-1178,0,0,0,0,0,209741,
-774,7,-1296,-765,-5,-1179,0,0,0,0,0,209231,
-771,15,-1329,-765,-5,-1180,0,0,0,0,0,209231,
-766,11,-1320,-765,-5,-1181,0,0,0,0,0,208976,
-765,19,-1347,-765,-5,-1182,0,0,0,0,0,209486,
-754,15,-1343,-765,-4,-1184,0,0,0,0,0,208976,
-765,11,-1322,-766,-4,-1185,0,0,0,0,0,208976,
-741,19,-1363,-766,-4,-1186,0,0,0,0,0,208212,
-754,27,-1383,-765,-4,-1187,0,0,0,0,0,208976,
-765,23,-1365,-765,-3,-1188,0,0,0,0,0,208976,
-757,11,-1328,-764,-3,-1189,0,0,0,0,0,209231,
-765,11,-1323,-764,-3,-1191,0,0,0,0,0,208466,
-766,31,-1389,-764,-3,-1192,0,0,0,0,0,208976,
-779,27,-1364,-764,-3,-1193,0,0,0,0,0,208721,
-782,3,-1282,-764,-3,-1194,0,0,0,0,0,208466,
-768,19,-1347,-765,-3,-1196,0,0,0,0,0,208466,
-730,23,-1385,-764,-3,-1197,0,0,0,0,0,208466,
-777,19,-1340,-764,-3,-1198,0,0,0,0,0,209231,
-713,15,-1369,-763,-2,-1199,0,0,0,0,0,208466,
-763,19,-1348,-763,-2,-1201,0,0,0,0,0,208212,
-744,19,-1363,-764,-1,-1202,0,0,0,0,0,207957,
-757,27,-1381,-764,-1,-1203,0,0,0,0,0,208976,
-757,15,-1341,-765,-1,-1205,0,0,0,0,0,208466,
-749,15,-1347,-764,-1,-1206,0,0,0,0,0,208466,
-757,19,-1355,-763,-1,-1207,0,0,0,0,0,208466,
-757,15,-1343,-762,-1,-1208,0,0,0,0,0,208212,
-754,31,-1398,-762,-1,-1210,0,0,0,0,0,207448,
-768,0,-1279,-763,-1,-1211,0,0,0,0,0,207957,
-765,11,-1321,-763,0,-1212,0,0,0,0,0,207702,
-748,19,-1360,-763,0,-1214,0,0,0,0,0,207957,
-765,11,-1321,-763,0,-1215,0,0,0,0,0,207193,
-757,19,-1356,-764,0,-1216,0,0,0,0,0,207957,
-768,23,-1352,-763,0,-1218,0,0,0,0,0,208466,
-760,19,-1352,-763,0,-1219,0,0,0,0,0,207702,
-757,23,-1364,-763,0,-1220,0,0,0,0,0,207448,
-760,23,-1363,-764,0,-1222,0,0,0,0,0,207448,
-752,11,-1331,-764,0,-1223,0,0,0,0,0,207957,
-760,15,-1336,-764,0,-1224,0,0,0,0,0,206938,
-757,11,-1327,-763,0,-1226,0,0,0,0,0,207448,
-760,19,-1352,-764,1,-1227,0,0,0,0,0,208466,
-763,7,-1309,-763,1,-1228,0,0,0,0,0,207448,
-768,19,-1348,-762,1,-1230,0,0,0,0,0,206938,
-754,3,-1306,-763,1,-1231,0,0,0,0,0,207702,
-754,19,-1357,-763,1,-1232,0,0,0,0,0,207448,
-749,15,-1349,-763,2,-1233,0,0,0,0,0,207448,
-752,19,-1357,-762,2,-1235,0,0,0,0,0,206938,
-762,11,-1327,-762,2,-1236,0,0,0,0,0,207957,
-776,7,-1301,-762,2,-1237,0,0,0,0,0,206938,
-768,23,-1358,-761,2,-1239,0,0,0,0,0,206938,
-749,19,-1359,-762,2,-1240,0,0,0,0,0,206938,
-754,27,-1386,-762,3,-1241,0,0,0,0,0,207448,
-769,0,-1280,-762,2,-1243,0,0,0,0,0,207448,
-749,11,-1334,-763,3,-1244,0,0,0,0,0,206428,
-765,31,-1391,-762,3,-1245,0,0,0,0,0,206428,
-748,15,-1347,-762,3,-1246,0,0,0,0,0,206938,
-768,11,-1317,-762,3,-1248,0,0,0,0,0,206683,
-751,3,-1308,-762,3,-1249,0,0,0,0,0,206428,
-746,23,-1372,-761,3,-1250,0,0,0,0,0,206428,
-768,15,-1329,-760,3,-1252,0,0,0,0,0,205579,
-763,15,-1336,-761,4,-1253,0,0,0,0,0,205834,
-765,23,-1361,-761,4,-1254,0,0,0,0,0,206088,
-765,7,-1310,-761,3,-1256,0,0,0,0,0,205834,
-751,31,-1397,-760,4,-1257,0,0,0,0,0,205579,
-757,15,-1339,-761,5,-1258,0,0,0,0,0,205834,
-774,19,-1343,-761,5,-1259,0,0,0,0,0,205834,
-754,15,-1345,-760,5,-1261,0,0,0,0,0,205579,
-760,7,-1309,-760,5,-1262,0,0,0,0,0,205579,
-763,23,-1360,-760,6,-1263,0,0,0,0,0,206428,
-754,19,-1353,-761,6,-1264,0,0,0,0,0,205834,
-749,23,-1367,-761,6,-1265,0,0,0,0,0,206428,
-754,19,-1357,-761,6,-1267,0,0,0,0,0,206088,
-760,7,-1314,-760,6,-1268,0,0,0,0,0,205579,
-757,27,-1376,-759,7,-1269,0,0,0,0,0,205834,
-765,15,-1333,-760,6,-1270,0,0,0,0,0,205324,
-754,19,-1356,-761,7,-1272,0,0,0,0,0,205324,
-763,11,-1320,-759,7,-1273,0,0,0,0,0,205324,
-760,11,-1325,-760,7,-1274,0,0,0,0,0,205324,
-749,19,-1358,-759,7,-1276,0,0,0,0,0,205324,
-760,11,-1323,-760,7,-1277,0,0,0,0,0,205834,
-760,23,-1365,-759,7,-1278,0,0,0,0,0,205069,
-768,19,-1346,-760,8,-1279,0,0,0,0,0,205069,
-752,15,-1346,-760,8,-1280,0,0,0,0,0,205834,
-757,19,-1356,-760,8,-1282,0,0,0,0,0,205834,
-765,11,-1323,-760,7,-1283,0,0,0,0,0,205069,
-755,15,-1343,-759,8,-1284,0,0,0,0,0,205579,
-768,7,-1305,-759,8,-1285,0,0,0,0,0,205324,
-771,7,-1301,-759,9,-1286,0,0,0,0,0,205834,
-768,3,-1294,-759,9,-1287,0,0,0,0,0,205579,
-757,19,-1352,-759,9,-1288,0,0,0,0,0,206428,
-760,23,-1362,-760,9,-1290,0,0,0,0,0,205579,
